08:47:26.268 INFO  [main] gzx.devops.DevOpsServerApplication - Starting DevOpsServerApplication v0.0.1 on MicroWin10-1512 with PID 13416 (D:\binfoWork\newtest\DevOps-dev-test\modules\server\target\server-0.0.1.jar started by Administrator in D:\binfoWork\newtest\DevOps-dev-test\modules\server\target)
08:47:26.307 INFO  [main] gzx.devops.DevOpsServerApplication - The following profiles are active: dev
08:47:36.639 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9704 (http)
08:47:36.700 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9704"]
08:47:36.738 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
08:47:36.740 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
08:47:37.136 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08:47:37.137 INFO  [main] org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 10042 ms
08:47:41.282 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9704"]
08:47:41.392 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9704 (http) with context path ''
08:47:41.399 INFO  [main] gzx.devops.DevOpsServerApplication - Started DevOpsServerApplication in 17.74 seconds (JVM running for 20.719)
08:47:41.422 INFO  [main] cn.jiangzeyin.common.DefaultSystemLog - 系统[0.0.1]外部配置文件路径：jar:file:/D:/binfoWork/newtest/DevOps-dev-test/modules/server/target/server-0.0.1.jar!/BOOT-INF/classes!/bin/extConfig.yml
08:47:41.960 INFO  [main] cn.jiangzeyin.common.DefaultSystemLog - 已经开启监听调度：节点信息采集
08:47:41.966 INFO  [main] cn.jiangzeyin.common.DefaultSystemLog - 初始化数据中....
08:47:42.232 INFO  [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
08:47:43.186 INFO  [main] cn.jiangzeyin.common.DefaultSystemLog - common-boot 关闭程序
